Date,ProductID,BatchID,Status
2024-03-14,Product 8,B-1003,Pass
2024-04-02,Product 5,B-1014,Pass
2024-03-29,Product 4,B-1014,Pass
2024-04-04,Product 4,B-1004,Pass
2024-05-02,Product 7,B-1023,Fail
2024-01-06,Product 10,B-1018,Pass
2024-01-24,Product 10,B-1012,Pass
2024-03-23,Product 2,B-1013,Pass
2024-04-22,Product 4,B-1003,Pass
2024-04-14,Product 5,B-1007,Pass
2024-05-29,Product 5,B-1004,Pass
2024-04-25,Product 10,B-1013,Pass
2024-03-16,Product 10,B-1018,Pass
2024-03-21,Product 10,B-1028,Pass
2024-03-29,Product 9,B-1007,Pass
2024-04-04,Product 2,B-1007,Pass
2024-01-07,Product 8,B-1026,Pass
2024-01-30,Product 2,B-1019,Pass
2024-03-09,Product 10,B-1030,Pass
2024-05-02,Product 8,B-1030,Pass
2024-03-21,Product 1,B-1002,Pass
2024-03-10,Product 4,B-1011,Pass
2024-03-18,Product 9,B-1013,Pass
2024-02-28,Product 1,B-1003,Pass
2024-03-16,Product 3,B-1026,Pass
2024-04-10,Product 7,B-1028,Pass
2024-04-27,Product 3,B-1008,Pass
2024-03-26,Product 8,B-1010,Pass
2024-02-27,Product 2,B-1027,Pass
2024-05-04,Product 2,B-1012,Pass
2024-04-15,Product 7,B-1012,Pass
2024-01-01,Product 2,B-1025,Pass
2024-04-05,Product 10,B-1018,Pass
2024-01-07,Product 1,B-1014,Fail
2024-01-31,Product 2,B-1023,Pass
2024-01-23,Product 7,B-1009,Pass
2024-02-18,Product 4,B-1025,Pass
2024-01-03,Product 6,B-1019,Pass
2024-05-09,Product 6,B-1021,Pass
2024-04-25,Product 1,B-1001,Pass
2024-01-01,Product 6,B-1002,Pass
2024-05-17,Product 2,B-1029,Pass
2024-03-14,Product 7,B-1015,Pass
2024-03-07,Product 5,B-1001,Pass
2024-02-01,Product 5,B-1013,Pass
2024-03-13,Product 1,B-1003,Pass
2024-05-03,Product 6,B-1013,Pass
2024-01-09,Product 1,B-1026,Pass
2024-04-28,Product 4,B-1020,Pass
2024-02-27,Product 6,B-1027,Fail
2024-03-13,Product 10,B-1018,Pass
2024-05-28,Product 4,B-1020,Pass
2024-03-02,Product 2,B-1009,Pass
2024-01-19,Product 9,B-1026,Pass
2024-04-16,Product 4,B-1001,Pass
2024-03-22,Product 7,B-1018,Pass
2024-03-25,Product 8,B-1027,Pass
2024-04-23,Product 6,B-1025,Pass
2024-05-09,Product 8,B-1017,Pass
2024-04-24,Product 5,B-1023,Pass
2024-02-07,Product 3,B-1025,Fail
2024-03-14,Product 6,B-1022,Pass
2024-01-07,Product 4,B-1002,Pass
2024-01-28,Product 9,B-1014,Pass
2024-02-01,Product 4,B-1014,Pass
2024-01-20,Product 4,B-1002,Fail
2024-01-13,Product 2,B-1010,Pass
2024-02-06,Product 7,B-1010,Pass
2024-05-23,Product 2,B-1016,Pass
2024-03-01,Product 7,B-1018,Pass
2024-05-11,Product 8,B-1003,Pass
2024-05-25,Product 1,B-1020,Pass
2024-03-17,Product 10,B-1019,Pass
2024-03-14,Product 4,B-1013,Pass
2024-03-11,Product 3,B-1014,Fail
2024-03-02,Product 4,B-1006,Pass
2024-03-15,Product 8,B-1009,Pass
2024-03-07,Product 9,B-1005,Pass
2024-05-26,Product 1,B-1014,Pass
2024-02-08,Product 3,B-1011,Pass
2024-03-17,Product 9,B-1014,Pass
2024-01-03,Product 2,B-1006,Pass
2024-03-01,Product 2,B-1012,Pass
2024-04-03,Product 9,B-1015,Pass
2024-03-04,Product 4,B-1010,Pass
2024-05-10,Product 10,B-1005,Pass
2024-01-01,Product 5,B-1019,Pass
2024-05-09,Product 9,B-1006,Pass
2024-05-12,Product 7,B-1021,Pass
2024-04-28,Product 10,B-1006,Pass
2024-04-15,Product 4,B-1028,Pass
2024-05-18,Product 7,B-1026,Pass
2024-02-10,Product 6,B-1001,Pass
2024-03-31,Product 5,B-1013,Pass
2024-01-05,Product 4,B-1028,Pass
2024-04-24,Product 4,B-1012,Pass
2024-01-03,Product 1,B-1017,Pass
2024-04-21,Product 4,B-1019,Pass
2024-01-12,Product 7,B-1002,Pass
2024-04-30,Product 8,B-1021,Pass
2024-03-24,Product 1,B-1006,Pass
2024-01-01,Product 7,B-1028,Pass
2024-03-22,Product 7,B-1013,Pass
2024-04-06,Product 3,B-1030,Pass
2024-03-11,Product 6,B-1014,Pass
2024-02-08,Product 9,B-1012,Pass
2024-02-19,Product 8,B-1013,Pass
2024-01-19,Product 4,B-1011,Pass
2024-01-16,Product 2,B-1014,Pass
2024-05-02,Product 1,B-1025,Fail
2024-05-19,Product 4,B-1010,Pass
2024-02-19,Product 7,B-1007,Pass
2024-03-22,Product 9,B-1030,Pass
2024-02-26,Product 1,B-1006,Pass
2024-04-15,Product 8,B-1027,Pass
2024-01-17,Product 10,B-1017,Pass
2024-03-25,Product 9,B-1008,Pass
2024-02-16,Product 6,B-1002,Pass
2024-05-06,Product 4,B-1005,Pass
2024-03-18,Product 9,B-1019,Pass
2024-01-31,Product 2,B-1007,Pass
2024-05-09,Product 1,B-1023,Pass
2024-04-15,Product 10,B-1017,Pass
2024-05-22,Product 6,B-1008,Pass
2024-05-03,Product 10,B-1022,Pass
2024-04-19,Product 5,B-1012,Pass
2024-02-07,Product 8,B-1010,Pass
2024-03-20,Product 5,B-1027,Pass
2024-04-12,Product 3,B-1022,Pass
2024-02-19,Product 7,B-1024,Pass
2024-03-17,Product 7,B-1027,Pass
2024-01-15,Product 6,B-1008,Pass
2024-01-01,Product 5,B-1016,Pass
2024-02-22,Product 7,B-1022,Pass
2024-01-24,Product 9,B-1009,Pass
2024-03-15,Product 4,B-1008,Pass
2024-05-19,Product 6,B-1017,Pass
2024-01-27,Product 4,B-1028,Pass
2024-03-04,Product 7,B-1013,Pass
2024-03-21,Product 9,B-1003,Pass
2024-02-14,Product 9,B-1005,Pass
2024-02-10,Product 5,B-1005,Pass
2024-05-14,Product 10,B-1002,Pass
2024-05-25,Product 4,B-1009,Pass
2024-01-14,Product 3,B-1023,Fail
2024-05-28,Product 4,B-1014,Pass
2024-02-03,Product 8,B-1006,Pass
2024-03-28,Product 9,B-1004,Pass
2024-04-17,Product 3,B-1016,Pass
2024-04-02,Product 6,B-1009,Fail
